frame, fps, time
0, 118.9626, 0
1, 103.146, 0.009695
2, 119.5172, 0.018062
3, 125.2191, 0.026048
4, 127.3885, 0.033898
5, 103.0503, 0.043602
6, 99.62144, 0.05364
7, 115.4468, 0.062302
8, 108.9562, 0.07148
9, 126.3743, 0.079393
10, 105.7306, 0.088851
11, 113.0838, 0.09769399
12, 120.2501, 0.10601
13, 118.8778, 0.114422
14, 106.8604, 0.12378
15, 123.2134, 0.131896
16, 112.0825, 0.140818
17, 127.5998, 0.148655
18, 105.5966, 0.158125
19, 123.8697, 0.166198
20, 122.3092, 0.174374
21, 103.3165, 0.184053
22, 106.1571, 0.193473
23, 120.6564, 0.201761
24, 105.9434, 0.2112
25, 117.3985, 0.219718
26, 107.5153, 0.229019
27, 121.8175, 0.237228
28, 131.7697, 0.244817
29, 115.1145, 0.253504
30, 128.5347, 0.261284
31, 110.3144, 0.270349
32, 98.24148, 0.280528
33, 112.2965, 0.289433
34, 108.5894, 0.298642
35, 111.0988, 0.307643
36, 108.3072, 0.316876
37, 113.9991, 0.325648
38, 126.6785, 0.333542
39, 90.89256, 0.344544
40, 114.3772, 0.353287
41, 136.3327, 0.360622
42, 106.2361, 0.370035
43, 112.5366, 0.378921
44, 108.7784, 0.388114
45, 107.1352, 0.397448
46, 107.4229, 0.406757
47, 124.3008, 0.414802
48, 107.6426, 0.424092
49, 118.3152, 0.432544
50, 116.523, 0.441126
51, 106.9404, 0.450477
52, 102.6273, 0.460221
53, 127.7629, 0.468048
54, 96.46922, 0.478414
55, 111.0864, 0.487416
56, 101.0101, 0.497316
57, 109.6611, 0.506435
58, 123.6858, 0.51452
59, 109.7936, 0.523628
60, 117.3571, 0.532149
61, 98.46396, 0.542305
62, 127.7302, 0.550134
63, 98.48335, 0.560288
64, 132.3101, 0.567846
65, 122.2793, 0.576024
66, 117.4674, 0.584537
67, 105.8537, 0.5939839
68, 122.2793, 0.6021619
69, 97.68487, 0.6123989
70, 114.4296, 0.6211379
71, 119.56, 0.6295019
72, 125.1721, 0.6374909
73, 129.1656, 0.6452329
74, 104.145, 0.6548349
75, 111.4454, 0.6638079
76, 112.7269, 0.6726789
77, 104.4168, 0.6822559
78, 99.84026, 0.6922719
79, 120.5546, 0.7005669
80, 122.2494, 0.708747
81, 123.4263, 0.716849
82, 120.8459, 0.7251239
83, 124.7349, 0.7331409
84, 102.5957, 0.742888
85, 129.668, 0.7506
86, 116.8907, 0.759155
87, 118.624, 0.767585
88, 125.0782, 0.77558
89, 115.1808, 0.784262
90, 107.4229, 0.793571
91, 124.9688, 0.801573
92, 105.8649, 0.811019
93, 113.9731, 0.819793
94, 135.7405, 0.82716
95, 121.8769, 0.835365
96, 116.0901, 0.843979
97, 111.6196, 0.852938
98, 115.2605, 0.861614
99, 109.1227, 0.870778
100, 132.8021, 0.8783079
101, 104.8548, 0.8878449
102, 121.4624, 0.8960779
103, 100.6036, 0.906018
104, 129.9376, 0.9137139
105, 120.1201, 0.9220389
106, 117.2333, 0.9305689
107, 101.0101, 0.9404689
108, 114.7052, 0.9491869
109, 112.0197, 0.9581139
110, 126.4222, 0.9660239
111, 106.6325, 0.9754019
112, 125.897, 0.9833449
113, 107.7819, 0.9926229
114, 112.1579, 1.001539
115, 128.2874, 1.009334
116, 151.9526, 1.015915
117, 99.15717, 1.026
118, 124.0387, 1.034062
119, 102.3541, 1.043832
120, 109.4331, 1.05297
121, 128.8826, 1.060729
122, 104.5151, 1.070297
123, 107.5153, 1.079598
124, 103.2205, 1.089286
125, 114.1162, 1.098049
126, 117.3158, 1.106573
127, 119.8753, 1.114915
128, 106.0558, 1.124344
129, 126.6945, 1.132237
130, 92.97137, 1.142993
131, 117.2333, 1.151523
132, 105.363, 1.161014
133, 122.474, 1.169179
134, 145.6664, 1.176044
135, 90.17133, 1.187134
136, 98.9903, 1.197236
137, 102.2286, 1.207018
138, 116.2791, 1.215618
139, 116.428, 1.224207
140, 109.2419, 1.233361
141, 107.3076, 1.24268
142, 123.64, 1.250768
143, 97.25734, 1.26105
144, 120.1634, 1.269372
145, 109.9747, 1.278465
146, 103.6914, 1.288109
147, 110.1807, 1.297185
148, 111.0988, 1.306186
149, 104.3297, 1.315771
150, 116.4822, 1.324356
151, 117.9106, 1.332837
152, 106.022, 1.342269
153, 120.1201, 1.350594
154, 113.4044, 1.359412
155, 107.0205, 1.368756
156, 99.01971, 1.378855
157, 80.77544, 1.391235
158, 94.94873, 1.401767
159, 95.35616, 1.412254
160, 116.252, 1.420856
161, 122.474, 1.429021
162, 125.8812, 1.436965
163, 135.4463, 1.444348
164, 110.3387, 1.453411
165, 119.2748, 1.461795
166, 102.976, 1.471506
167, 100.311, 1.481475
168, 118.6944, 1.4899
169, 105.042, 1.49942
170, 118.9485, 1.507827
171, 109.6011, 1.516951
172, 99.22604, 1.527029
173, 115.7407, 1.535669
174, 102.501, 1.545425
175, 120.8459, 1.5537
176, 111.6695, 1.562655
177, 99.0001, 1.572756
178, 120.1346, 1.58108
179, 97.1251, 1.591376
180, 118.8354, 1.599791
181, 125.6124, 1.607752
182, 115.1278, 1.616438
183, 105.9883, 1.625873
184, 91.39097, 1.636815
185, 132.961, 1.644336
186, 111.0371, 1.653342
187, 108.6248, 1.662548
188, 101.8537, 1.672366
189, 118.3152, 1.680818
190, 106.2699, 1.690228
191, 114.6395, 1.698951
192, 109.4212, 1.70809
193, 117.6194, 1.716592
194, 101.2146, 1.726472
195, 120.2501, 1.734788
196, 106.8947, 1.744143
197, 100.7658, 1.754067
198, 111.1235, 1.763066
