frame, fps, time
0, 61.59532, 0
1, 95.32889, 0.01049
2, 74.58234, 0.023898
3, 96.52509, 0.034258
4, 70.28395, 0.048486
5, 119.0901, 0.056883
6, 87.13078, 0.06836
7, 60.37918, 0.084922
8, 71.28091, 0.098951
9, 101.4919, 0.108804
10, 62.78252, 0.124732
11, 70.52186, 0.138912
12, 95.36525, 0.149398
13, 69.25687, 0.163837
14, 104.1775, 0.173436
15, 121.1094, 0.181693
16, 88.36264, 0.19301
17, 86.61008, 0.204556
18, 93.05788, 0.215302
19, 78.15553, 0.228097
20, 112.8413, 0.236959
21, 74.90076, 0.25031
22, 90.52232, 0.261357
23, 120.8021, 0.2696351
24, 74.4103, 0.2830741
25, 133.833, 0.2905461
26, 90.69473, 0.3015721
27, 93.34454, 0.3122851
28, 94.9307, 0.3228191
29, 84.38818, 0.3346691
30, 80.93889, 0.3470241
31, 120.8167, 0.3553011
32, 77.85737, 0.368145
33, 100.7963, 0.3780661
34, 82.79517, 0.3901441
35, 93.58914, 0.400829
36, 95.48363, 0.4113021
37, 97.0968, 0.4216011
38, 91.45784, 0.4325351
39, 97.3236, 0.4428101
40, 89.47746, 0.453986
41, 77.51337, 0.4668871
42, 120.048, 0.475217
43, 83.13934, 0.4872451
44, 81.55276, 0.499507
45, 121.4919, 0.5077381
46, 89.88764, 0.5188631
47, 93.67681, 0.5295381
48, 95.84971, 0.5399711
49, 91.80208, 0.5508641
50, 76.91716, 0.5638651
51, 104.5806, 0.5734271
52, 58.45902, 0.5905331
53, 110.3022, 0.5995991
54, 90.23642, 0.6106811
55, 80.02561, 0.6231771
56, 93.74707, 0.6338441
57, 63.90185, 0.6494932
58, 106.0895, 0.6589192
59, 61.45526, 0.6751912
60, 105.0751, 0.6847082
61, 63.36333, 0.7004902
62, 101.9784, 0.7102962
63, 65.96741, 0.7254552
64, 102.4695, 0.7352142
65, 114.2988, 0.7439632
66, 87.30575, 0.7554172
67, 92.14042, 0.7662702
68, 119.6602, 0.7746271
69, 74.13998, 0.7881151
70, 119.8035, 0.7964621
71, 86.83571, 0.8079781
72, 65.46217, 0.8232541
73, 91.93712, 0.8341311
74, 106.519, 0.8435192
75, 61.95019, 0.8596612
76, 87.2905, 0.8711172
77, 98.14506, 0.8813062
78, 97.46589, 0.8915662
79, 92.0556, 0.9024292
80, 66.27345, 0.9175181
81, 126.6624, 0.9254131
82, 99.71084, 0.9354421
83, 92.78159, 0.9462202
84, 97.07796, 0.9565212
85, 91.41603, 0.9674602
86, 82.48783, 0.9795831
87, 114.7974, 0.9882941
88, 84.7745, 1.00009
89, 110.2779, 1.009158
90, 81.94706, 1.021361
91, 102.701, 1.031098
92, 95.32889, 1.041588
93, 92.33611, 1.052418
94, 87.53501, 1.063842
95, 88.26904, 1.075171
96, 91.37427, 1.086115
97, 104.6135, 1.095674
98, 87.38967, 1.107117
99, 81.24137, 1.119426
100, 122.2195, 1.127608
101, 93.60667, 1.138291
102, 83.19468, 1.150311
103, 114.9954, 1.159007
104, 82.5423, 1.171122
105, 106.1346, 1.180544
106, 76.85804, 1.193555
107, 117.2058, 1.202087
108, 46.92192, 1.223399
109, 89.66197, 1.234552
110, 60.41566, 1.251104
111, 117.426, 1.25962
112, 70.34328, 1.273836
113, 71.31651, 1.287858
114, 110.7297, 1.296889
115, 106.4283, 1.306285
116, 91.82736, 1.317175
117, 86.20689, 1.328775
118, 111.957, 1.337707
119, 65.78515, 1.352908
120, 109.0869, 1.362075
121, 95.51099, 1.372545
122, 83.41675, 1.384533
123, 77.85737, 1.397377
124, 138.3317, 1.404606
125, 81.88667, 1.416818
126, 88.89679, 1.428067
127, 85.01233, 1.43983
128, 59.89817, 1.456525
129, 96.03381, 1.466938
130, 66.76013, 1.481917
131, 69.1563, 1.496377
132, 87.01705, 1.507869
133, 64.32937, 1.523414
134, 114.0251, 1.532184
135, 106.1797, 1.541602
136, 70.32349, 1.555822
137, 77.39938, 1.568742
138, 117.7718, 1.577233
139, 67.41724, 1.592066
140, 88.32362, 1.603388
141, 110.6195, 1.612428
142, 91.39097, 1.62337
143, 73.98091, 1.636887
144, 80.74935, 1.649271
145, 83.33334, 1.661271
146, 101.1531, 1.671157
147, 64.70817, 1.686611
148, 93.94082, 1.697256
149, 90.269, 1.708334
150, 110.7542, 1.717363
151, 77.96663, 1.730189
152, 76.07455, 1.743334
153, 104.5588, 1.752898
154, 103.7237, 1.762539
155, 93.42302, 1.773243
156, 92.9109, 1.784006
157, 72.14487, 1.797867
158, 106.3038, 1.807274
159, 86.97921, 1.818771
160, 78.3208, 1.831539
161, 118.1335, 1.840004
162, 79.82758, 1.852531
163, 103.4126, 1.862201
164, 86.79049, 1.873723
165, 105.9098, 1.883165
166, 82.49464, 1.895287
167, 92.90227, 1.906051
168, 87.13837, 1.917527
169, 76.22532, 1.930646
170, 90.09009, 1.941746
171, 94.19744, 1.952362
172, 99.9001, 1.962372
173, 84.95455, 1.974143
174, 95.88647, 1.984572
175, 64.59531, 2.000053
176, 104.395, 2.009632
177, 87.62706, 2.021044
178, 75.28419, 2.034327
179, 120.0769, 2.042655
180, 80.26326, 2.055114
181, 79.96162, 2.06762
182, 83.87151, 2.079543
183, 118.0777, 2.088012
184, 79.25814, 2.10063
185, 102.5957, 2.110377
186, 74.64358, 2.123774
187, 99.63136, 2.133811
188, 82.33841, 2.145956
189, 112.8413, 2.154818
190, 89.78272, 2.165956
191, 89.08686, 2.177181
192, 91.34923, 2.188128
193, 77.36346, 2.201054
194, 108.4011, 2.210279
195, 81.27438, 2.222583
196, 92.71278, 2.233369
197, 98.05844, 2.243567
198, 65.8588, 2.258751
199, 72.67442, 2.272511
200, 72.6533, 2.286275
201, 91.70106, 2.29718
202, 92.94544, 2.307939
203, 101.6673, 2.317775
204, 74.64358, 2.331172
205, 76.78722, 2.344195
206, 64.76264, 2.359636
207, 83.73807, 2.371578
208, 108.7666, 2.380771
209, 67.66357, 2.39555
210, 121.3003, 2.403795
211, 78.82706, 2.416481
212, 64.21371, 2.432054
213, 113.0838, 2.440897
214, 96.24639, 2.451287
215, 74.33839, 2.464739
216, 115.0351, 2.473432
217, 79.52287, 2.486006
218, 103.2311, 2.495693
219, 93.69437, 2.506366
220, 87.26003, 2.517827
221, 90.44044, 2.528883
222, 96.75859, 2.539218
223, 84.83203, 2.551006
224, 94.27737, 2.561613
225, 73.47539, 2.575223
226, 106.1346, 2.584645
227, 81.74609, 2.596878
228, 105.2964, 2.606375
229, 81.05042, 2.618713
230, 59.65875, 2.635475
231, 95.9785, 2.645894
232, 99.17683, 2.655977
233, 92.98866, 2.666731
234, 88.76265, 2.677997
235, 48.87108, 2.698459
236, 109.3494, 2.707604
237, 67.76904, 2.72236
238, 62.85355, 2.73827
239, 118.3852, 2.746717
240, 58.66823, 2.763762
241, 111.2595, 2.77275
242, 100.2205, 2.782728
243, 81.06355, 2.795064
244, 106.1121, 2.804488
245, 78.57928, 2.817214
246, 97.38995, 2.827482
247, 92.86776, 2.83825
248, 61.7322, 2.854449
249, 104.0258, 2.864062
250, 83.00822, 2.876109
251, 99.33446, 2.886176
