frame, fps, time
0, 101.7087, 0
1, 94.35743, 0.010598
2, 89.0472, 0.021828
3, 91.39097, 0.03277
4, 94.18857, 0.043387
5, 86.78296, 0.05491
6, 95.84971, 0.065343
7, 100.4218, 0.075301
8, 99.51239, 0.08535
9, 105.2521, 0.094851
10, 95.95087, 0.105273
11, 100.9082, 0.115183
12, 96.99321, 0.125493
13, 98.26078, 0.13567
14, 102.2599, 0.145449
15, 94.76876, 0.156001
16, 91.1577, 0.166971
17, 94.688, 0.177532
18, 96.7118, 0.187872
19, 103.6699, 0.197518
20, 99.09821, 0.207609
21, 99.52229, 0.217657
22, 101.7397, 0.227486
23, 92.91953, 0.238248
24, 96.56238, 0.248604
25, 97.5039, 0.25886
26, 96.965, 0.269173
27, 99.69096, 0.279204
28, 93.67681, 0.2898791
29, 103.2311, 0.2995661
30, 98.78494, 0.3096891
31, 90.69473, 0.3207151
32, 104.4823, 0.3302861
33, 90.81828, 0.3412971
34, 95.85889, 0.3517291
35, 100.06, 0.3617231
36, 91.65903, 0.3726331
37, 87.45846, 0.3840671
38, 98.30908, 0.3942391
39, 89.48546, 0.4054141
40, 91.48294, 0.4163451
41, 93.47542, 0.4270431
42, 96.11687, 0.437447
43, 103.8961, 0.447072
44, 98.83376, 0.45719
45, 99.09821, 0.467281
46, 102.8807, 0.477001
47, 95.03896, 0.487523
48, 91.67583, 0.4984311
49, 102.8383, 0.508155
50, 95.47451, 0.5186291
51, 97.94319, 0.5288391
52, 88.20676, 0.540176
53, 91.00837, 0.551164
54, 103.5626, 0.56082
55, 93.40556, 0.5715261
56, 103.4126, 0.5811961
57, 94.67904, 0.5917581
58, 90.33424, 0.6028281
59, 116.8497, 0.6113861
60, 95.54749, 0.621852
61, 88.62106, 0.633136
62, 122.9559, 0.641269
63, 99.82032, 0.651287
64, 105.2299, 0.66079
65, 99.91008, 0.670799
66, 104.1558, 0.6804
67, 101.9576, 0.690208
68, 103.0822, 0.699909
69, 101.8019, 0.7097321
70, 94.23294, 0.7203441
71, 102.3437, 0.7301151
72, 92.91953, 0.740877
73, 92.61832, 0.7516741
74, 103.7129, 0.7613161
75, 99.64129, 0.7713521
76, 104.1667, 0.780952
77, 98.40582, 0.791114
78, 99.98, 0.801116
79, 104.5916, 0.8106771
80, 94.84067, 0.8212211
81, 81.85316, 0.833438
82, 128.0082, 0.8412501
83, 99.82032, 0.8512681
84, 104.1341, 0.8608711
85, 95.83134, 0.8713061
86, 104.0042, 0.8809211
87, 100.2506, 0.8908961
88, 98.14506, 0.9010851
89, 105.3186, 0.9105801
90, 98.25113, 0.9207581
91, 105.1857, 0.9302651
92, 99.60159, 0.9403051
93, 101.8537, 0.9501231
94, 105.2853, 0.9596211
95, 94.90367, 0.9701582
96, 105.4296, 0.9796432
97, 98.41551, 0.9898041
98, 101.4713, 0.9996591
99, 102.2286, 1.009441
100, 98.83376, 1.019559
101, 104.2862, 1.029148
102, 95.58401, 1.03961
103, 100.5733, 1.049553
104, 98.9903, 1.059655
105, 97.41841, 1.06992
106, 103.9609, 1.079539
107, 89.58166, 1.090702
108, 96.9274, 1.101019
109, 96.302, 1.111403
110, 98.34776, 1.121571
111, 100.1603, 1.131555
112, 102.438, 1.141317
113, 95.82215, 1.151753
114, 82.08833, 1.163935
